id,short_name,name,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
300014933,HYLA00014933,None,34.8958,79.3375,False,False,True,True,True
300014941,HYLA00014941,None,34.7875,118.8292,False,False,True,True,True
300014943,HYLA00014943,None,34.7458,81.8958,False,False,True,True,True
300014944,HYLA00014944,None,34.7125,89.0292,False,False,True,True,True
300014948,HYLA00014948,None,34.6708,79.6958,False,False,True,True,True
300014950,HYLA00014950,None,34.6514,-2.9653,False,False,True,True,True
300014959,HYLA00014959,Orba,34.5819,81.0347,True,False,True,True,True
300014966,HYLA00014966,None,34.4764,81.7903,False,False,True,True,True
300014984,HYLA00014984,None,34.3458,85.2208,False,False,True,True,True
300014998,HYLA00014998,None,34.1875,83.1542,False,False,True,True,True
300015002,HYLA00015002,None,34.0958,90.2542,True,False,True,True,True
300015030,HYLA00015030,None,33.5542,84.5792,False,False,True,True,True
300015037,HYLA00015037,None,33.3625,84.1958,True,True,True,True,True
300015058,HYLA00015058,None,33.0292,80.6042,False,False,True,True,True
300015115,HYLA00015115,None,32.3458,87.3125,False,False,True,True,True
300015125,HYLA00015125,None,32.3208,88.6958,False,False,True,True,True
300015130,HYLA00015130,None,32.1958,85.1208,False,False,True,True,True
300015151,HYLA00015151,None,31.9292,47.2958,False,False,True,True,True
300015160,HYLA00015160,None,31.8514,83.1625,False,False,True,True,True
300015169,HYLA00015169,None,31.6625,90.7375,False,False,True,True,True
300015175,HYLA00015175,None,31.6653,82.3458,False,False,True,True,True
300015178,HYLA00015178,None,31.5847,87.2514,False,False,True,True,True
300015197,HYLA00015197,None,31.3764,87.8764,False,False,True,True,True
300015217,HYLA00015217,None,31.2208,120.8208,False,False,True,True,True
300015220,HYLA00015220,None,31.3125,32.0625,False,False,True,True,True
300015240,HYLA00015240,None,31.0347,84.5764,False,False,True,True,True
300015245,HYLA00015245,None,30.9958,82.2292,False,False,True,True,True
300015248,HYLA00015248,None,31.0208,90.4875,False,False,True,True,True
300015252,HYLA00015252,None,30.9625,87.5375,False,False,True,True,True
300015257,HYLA00015257,None,30.9292,89.8292,False,False,True,True,True
300015260,HYLA00015260,None,30.8792,114.0792,False,False,True,True,True
300015265,HYLA00015265,None,30.7819,84.9819,False,False,True,True,True
300015267,HYLA00015267,None,30.7958,84.8125,False,False,True,True,True
300015268,HYLA00015268,None,30.8042,117.3875,False,False,True,True,True
300015276,HYLA00015276,None,30.6347,82.1431,False,False,True,True,True
300015283,HYLA00015283,None,30.6208,48.1375,False,False,True,True,True
300015296,HYLA00015296,None,30.4708,88.6125,False,False,True,True,True
300015361,HYLA00015361,None,29.5569,78.7597,False,False,True,True,True
300015374,HYLA00015374,Al Fayyum,29.2514,30.4792,False,False,True,True,True
300015376,HYLA00015376,None,29.2125,25.4542,False,False,True,True,True
300015380,HYLA00015380,Wadi Al Rayan,29.1875,30.4042,False,False,True,True,True
300015405,HYLA00015405,None,28.6681,91.6764,False,False,True,True,True
300015419,HYLA00015419,None,28.4014,88.2153,False,False,True,True,True
300015424,HYLA00015424,None,28.1403,89.3431,False,False,True,True,True
300015431,HYLA00015431,None,27.7208,100.7792,False,False,True,True,True
300015455,HYLA00015455,Ch'eng,26.5903,100.6653,False,False,True,True,True
300015502,HYLA00015502,Rajghat,24.6708,78.2708,False,False,True,True,True
300015520,HYLA00015520,None,24.1542,87.2875,False,False,True,True,True
300015523,HYLA00015523,None,24.0208,72.9208,False,False,True,True,True
300015536,HYLA00015536,Mahi Bajaj Sagar,23.5458,74.5375,False,False,True,True,True
300015538,HYLA00015538,None,23.4819,77.5014,False,False,True,True,True
300015552,HYLA00015552,None,23.0792,78.0208,False,False,True,True,True
300015554,HYLA00015554,None,23.0042,86.0292,False,False,True,True,True
300015557,HYLA00015557,None,22.8042,72.0292,False,False,True,True,True
300015606,HYLA00015606,None,21.3125,78.0542,False,False,True,True,True
300015626,HYLA00015626,None,20.5903,96.9069,False,False,True,True,True
300015630,HYLA00015630,Madhuban,20.1958,73.0792,False,False,True,True,True
300015638,HYLA00015638,None,19.7375,77.3792,False,False,True,True,True
300015650,HYLA00015650,None,19.1375,76.1542,False,False,True,True,True
300015655,HYLA00015655,None,18.9958,108.9875,False,False,True,True,True
300015657,HYLA00015657,None,18.9208,95.5958,False,False,True,True,True
300015672,HYLA00015672,None,18.3708,79.1292,False,False,True,True,True
300015696,HYLA00015696,None,17.2375,103.7125,False,False,True,True,True
300015697,HYLA00015697,None,17.3208,82.0708,False,False,True,True,True
300015714,HYLA00015714,None,16.3375,77.6875,False,False,True,True,True
300015736,HYLA00015736,None,15.2625,74.5042,False,False,True,True,True
300015755,HYLA00015755,None,14.2625,107.8458,False,False,True,True,True
300015761,HYLA00015761,Bhadra,13.6931,75.5847,False,False,True,True,True
300015778,HYLA00015778,Naujan,13.1708,121.3542,False,False,True,True,True
300015798,HYLA00015798,None,12.3708,7.4792,False,False,True,True,True
300015805,HYLA00015805,None,11.6792,8.0042,False,False,True,True,True
300015811,HYLA00015811,None,11.4625,77.0875,False,False,True,True,True
300015812,HYLA00015812,None,11.4542,41.6708,False,False,True,True,True
300015815,HYLA00015815,None,11.3708,41.5875,False,False,True,True,True
300015816,HYLA00015816,None,11.3458,39.7125,False,False,True,True,True
300015836,HYLA00015836,None,9.7542,12.0208,False,False,True,True,True
300015839,HYLA00015839,None,9.6208,14.1875,False,False,True,True,True
300015857,HYLA00015857,None,8.1958,5.6125,False,False,True,True,True
300015858,HYLA00015858,None,8.1958,3.7542,False,False,True,True,True
300015873,HYLA00015873,None,7.6042,81.2042,False,False,True,True,True
300015875,HYLA00015875,None,7.4208,30.5792,False,False,True,True,True
300015880,HYLA00015880,Senanayaka Samudra,7.2014,81.4931,False,False,True,True,True
300015883,HYLA00015883,None,7.1625,39.4208,False,False,True,True,True
300015885,HYLA00015885,None,7.0875,30.7958,False,False,True,True,True
300015892,HYLA00015892,Bosumtwi,6.5069,-1.4097,False,False,True,True,True
300015900,HYLA00015900,None,6.2569,100.8181,False,False,True,True,True
300015901,HYLA00015901,None,6.2569,1.4042,False,False,True,True,True
300015914,HYLA00015914,Danau Tawar,4.6153,96.9264,False,False,True,True,True
300015923,HYLA00015923,None,1.3375,33.7042,False,False,True,True,True
300015924,HYLA00015924,None,1.3458,17.1458,False,False,True,True,True
300015927,HYLA00015927,None,1.2125,124.8875,False,False,True,True,True
300015949,HYLA00015949,None,-0.3625,31.9042,False,False,True,True,True
300015950,HYLA00015950,None,-0.3708,36.0875,False,False,True,True,True
300015953,HYLA00015953,None,-0.5597,10.0264,False,False,True,True,True
300015969,HYLA00015969,None,-1.2375,29.6708,False,False,True,True,True
300015975,HYLA00015975,None,-1.4792,31.5542,False,False,True,True,True
300015976,HYLA00015976,None,-1.4319,29.7708,False,False,True,True,True
300015978,HYLA00015978,None,-1.5458,18.7208,False,False,True,True,True
300015983,HYLA00015983,None,-1.7208,18.8375,False,False,True,True,True
300015985,HYLA00015985,None,-1.8458,18.7042,False,False,True,True,True
300015994,HYLA00015994,None,-2.1458,101.4958,False,False,True,True,True
300016011,HYLA00016011,None,-3.6125,37.7625,False,False,True,True,True
300016017,HYLA00016017,None,-3.8708,35.8875,False,False,True,True,True
300016021,HYLA00016021,None,-3.9542,37.2708,False,False,False,True,True
300016024,HYLA00016024,None,-3.9875,119.8708,False,False,True,True,True
300016034,HYLA00016034,None,-4.6792,35.2375,False,False,True,True,True
300016040,HYLA00016040,None,-5.0208,12.1208,False,False,True,True,True
300016041,HYLA00016041,None,-5.0292,150.0792,False,False,True,True,True
300016043,HYLA00016043,Wisdom,-5.3431,147.1153,False,False,True,True,True
300016052,HYLA00016052,None,-6.5264,107.3458,False,False,True,True,True
300016090,HYLA00016090,None,-7.9125,110.8875,False,False,True,True,True
300016109,HYLA00016109,None,-8.8958,13.5958,False,False,True,True,True
300016110,HYLA00016110,None,-8.9097,29.7792,True,True,True,True,True
300016120,HYLA00016120,None,-10.0292,27.2542,False,False,True,True,True
300016137,HYLA00016137,None,-12.9708,30.7625,False,False,True,True,True
300016144,HYLA00016144,None,-13.8375,141.5125,False,False,True,True,True
